Category,Freq,Term,Total,loglift,logprob,topic_area
Topic1,925.8263588096288,investors,1771.3612521880814,1.8634,-4.8869,business
Topic1,335.98493897368434,volatility,502.1734765235232,2.1104,-5.9005,business
Topic1,662.4275285853079,stimulus,1295.3550139010638,1.8416,-5.2216,business
Topic1,206.65128217378688,rally,286.51281918745445,2.1855,-6.3865,business
Topic1,561.1953279916489,rose,1207.1561495624426,1.7463,-5.3875,business
Topic1,1492.089434213709,market,5015.575235494154,1.2999,-4.4096,business
Topic1,433.71103075866273,bond,845.601503347505,1.8446,-5.6452,business
Topic1,329.8326218118921,benchmark,585.9184809566021,1.9376,-5.919,business
Topic1,468.08964075229875,record,1082.016154819777,1.6743,-5.5689,business
Topic1,369.9466086956077,currency,748.3033832670958,1.8078,-5.8042,business
Topic1,487.0411389423003,stock,1284.1044404834097,1.5428,-5.5292,business
Topic1,981.0685609106524,global,4570.793466535583,0.9734,-4.8289,business
Topic1,432.0319463277112,trillion,1106.971791351361,1.5714,-5.649,business
Topic1,963.5736835747434,week,5737.822704384602,0.7281,-4.8469,business
Topic1,711.374767925856,economic,3514.932118919399,0.9147,-5.1503,business
Topic1,373.712463240255,euro,881.0847844550428,1.6546,-5.7941,business
Topic1,373.7728315630248,fed,883.7755631489407,1.6517,-5.7939,business
Topic1,613.4971020435167,prices,3708.2257600204834,0.7131,-5.2984,business
Topic1,558.2695608451363,month,2947.8925547660783,0.8482,-5.3927,business
Topic1,445.8321558490651,biggest,1589.3493493520364,1.2411,-5.6176,business
Topic1,557.8446251478903,day,3361.169798387914,0.7163,-5.3935,business
Topic1,524.143698850509,financial,2987.620159111897,0.7718,-5.4558,business
Topic1,483.5376027756319,central,2275.4825323443742,0.9634,-5.5364,business
Topic1,537.9521258331057,economy,3540.3899427711585,0.628,-5.4298,business
Topic1,558.908463704502,march,4739.866005800371,0.3745,-5.3916,business
Topic1,491.9917387199095,monday,3261.188195035378,0.6209,-5.5191,business
Topic1,530.6497787538865,world,4886.249092615589,0.2922,-5.4434,business
Topic1,460.52033281373434,bank,3476.344492631847,0.4909,-5.5852,business
Topic1,459.7170392022836,pandemic,3593.0143064590466,0.4561,-5.5869,business
Topic2,273.67271431422836,refinery,274.7187789822064,2.5585,-6.0556,business
Topic2,1244.7445534997112,bpd,1249.5349091497276,2.5584,-4.5408,business
Topic2,330.62212448171016,refiners,334.7883871114481,2.5498,-5.8665,business
Topic2,67.98845344736193,contango,68.93161582503957,2.5485,-7.4482,business
Topic2,65.03457422384434,sinopec,65.97773660207035,2.5479,-7.4926,business
Topic2,64.04994781552048,platts,64.99311019443039,2.5477,-7.5078,business
Topic2,51.24980451012519,urals,52.19296689477705,2.5441,-7.7308,business
Topic2,65.55828399806381,cartel,66.9667449107577,2.541,-7.4846,business
Topic2,43.37279325652988,distillate,44.31595563367111,2.5408,-7.8977,business
Topic2,37.46503481016023,vitol,38.40819718774157,2.5374,-8.0441,business
Topic2,786.1484816128534,barrels,806.6005179711549,2.5366,-5.0004,business
Topic2,34.51115558527012,adnoc,35.45431796477781,2.5353,-8.1262,business
Topic2,75.70171036537816,refiner,77.83929990601553,2.5344,-7.3407,business
Topic2,32.54074984398152,vlccs,33.48507611025976,2.5337,-8.185,business
Topic2,30.572649955945412,jaganathan,31.515812334156738,2.5319,-8.2474,business
Topic2,30.572649954761033,brouillette,31.515812334148563,2.5319,-8.2474,business
